key,type,release,milestone,epic,feature,title,area,priority,status,estimate,parent,depends_on,body_file
MVP-E06-F03-S02,story,MVP,MVP,Financial Engine,Debt and Savings Analysis,[MVP-E06-F03-S02] Calculate debt-to-income ratio,financial-engine,medium,Backlog,3,MVP-E06-F03,,portfolio/issues/stories/MVP-E06-F03-S02-mvp-e06-f03-s02-calculate-debt-to-income-ratio.md
MVP-E06-F03-S03,story,MVP,MVP,Financial Engine,Debt and Savings Analysis,[MVP-E06-F03-S03] Calculate savings rate,financial-engine,medium,Backlog,3,MVP-E06-F03,,portfolio/issues/stories/MVP-E06-F03-S03-mvp-e06-f03-s03-calculate-savings-rate.md
MVP-E06-F03-S04,story,MVP,MVP,Financial Engine,Debt and Savings Analysis,[MVP-E06-F03-S04] Estimate emergency fund and cash buffer,financial-engine,medium,Backlog,3,MVP-E06-F03,,portfolio/issues/stories/MVP-E06-F03-S04-mvp-e06-f03-s04-estimate-emergency-fund-and-cash-buffer.md
MVP-E07,epic,MVP,MVP,Categorization,,[MVP-E07] Categorization,financial-engine,high,Backlog,,,,portfolio/issues/epics/MVP-E07-mvp-e07-categorization.md
MVP-E07-F01,feature,MVP,MVP,Categorization,Rules Based Categorization,[MVP-E07-F01] Rules Based Categorization,financial-engine,high,Backlog,,MVP-E07,,portfolio/issues/features/MVP-E07-F01-mvp-e07-f01-rules-based-categorization.md
MVP-E07-F01-S01,story,MVP,MVP,Categorization,Rules Based Categorization,[MVP-E07-F01-S01] Create category taxonomy,financial-engine,medium,Backlog,3,MVP-E07-F01,,portfolio/issues/stories/MVP-E07-F01-S01-mvp-e07-f01-s01-create-category-taxonomy.md
MVP-E07-F01-S02,story,MVP,MVP,Categorization,Rules Based Categorization,[MVP-E07-F01-S02] Implement keyword categorization rules,financial-engine,medium,Backlog,3,MVP-E07-F01,,portfolio/issues/stories/MVP-E07-F01-S02-mvp-e07-f01-s02-implement-keyword-categorization-rules.md
MVP-E07-F01-S03,story,MVP,MVP,Categorization,Rules Based Categorization,[MVP-E07-F01-S03] Implement regex categorization rules,financial-engine,medium,Backlog,3,MVP-E07-F01,,portfolio/issues/stories/MVP-E07-F01-S03-mvp-e07-f01-s03-implement-regex-categorization-rules.md
MVP-E07-F01-S04,story,MVP,MVP,Categorization,Rules Based Categorization,[MVP-E07-F01-S04] Implement category override mechanism,financial-engine,medium,Backlog,3,MVP-E07-F01,,portfolio/issues/stories/MVP-E07-F01-S04-mvp-e07-f01-s04-implement-category-override-mechanism.md
MVP-E07-F02,feature,MVP,MVP,Categorization,South African Merchant Knowledge Base,[MVP-E07-F02] South African Merchant Knowledge Base,financial-engine,high,Backlog,,MVP-E07,,portfolio/issues/features/MVP-E07-F02-mvp-e07-f02-south-african-merchant-knowledge-base.md
MVP-E07-F02-S01,story,MVP,MVP,Categorization,South African Merchant Knowledge Base,[MVP-E07-F02-S01] Seed grocery merchant mappings,financial-engine,medium,Backlog,3,MVP-E07-F02,MVP-E07-F01-S04,portfolio/issues/stories/MVP-E07-F02-S01-mvp-e07-f02-s01-seed-grocery-merchant-mappings.md
MVP-E07-F02-S02,story,MVP,MVP,Categorization,South African Merchant Knowledge Base,[MVP-E07-F02-S02] Seed transport merchant mappings,financial-engine,medium,Backlog,3,MVP-E07-F02,,portfolio/issues/stories/MVP-E07-F02-S02-mvp-e07-f02-s02-seed-transport-merchant-mappings.md
MVP-E07-F02-S03,story,MVP,MVP,Categorization,South African Merchant Knowledge Base,[MVP-E07-F02-S03] Seed telecom and utility mappings,financial-engine,medium,Backlog,3,MVP-E07-F02,,portfolio/issues/stories/MVP-E07-F02-S03-mvp-e07-f02-s03-seed-telecom-and-utility-mappings.md
MVP-E07-F02-S04,story,MVP,MVP,Categorization,South African Merchant Knowledge Base,[MVP-E07-F02-S04] Seed debt and insurance provider mappings,financial-engine,medium,Backlog,3,MVP-E07-F02,,portfolio/issues/stories/MVP-E07-F02-S04-mvp-e07-f02-s04-seed-debt-and-insurance-provider-mappings.md
MVP-E07-F03,feature,MVP,MVP,Categorization,Confidence and Review,[MVP-E07-F03] Confidence and Review,financial-engine,high,Backlog,,MVP-E07,,portfolio/issues/features/MVP-E07-F03-mvp-e07-f03-confidence-and-review.md
MVP-E07-F03-S01,story,MVP,MVP,Categorization,Confidence and Review,[MVP-E07-F03-S01] Create categorization confidence score,financial-engine,medium,Backlog,3,MVP-E07-F03,MVP-E07-F02-S04,portfolio/issues/stories/MVP-E07-F03-S01-mvp-e07-f03-s01-create-categorization-confidence-score.md
MVP-E07-F03-S02,story,MVP,MVP,Categorization,Confidence and Review,[MVP-E07-F03-S02] Create human review threshold,financial-engine,medium,Backlog,3,MVP-E07-F03,,portfolio/issues/stories/MVP-E07-F03-S02-mvp-e07-f03-s02-create-human-review-threshold.md
MVP-E07-F03-S03,story,MVP,MVP,Categorization,Confidence and Review,[MVP-E07-F03-S03] Create merchant normalization service,financial-engine,medium,Backlog,3,MVP-E07-F03,,portfolio/issues/stories/MVP-E07-F03-S03-mvp-e07-f03-s03-create-merchant-normalization-service.md
MVP-E08,epic,MVP,MVP,Reporting,,[MVP-E08] Reporting,reporting,high,Backlog,,,,portfolio/issues/epics/MVP-E08-mvp-e08-reporting.md
MVP-E08-F01,feature,MVP,MVP,Reporting,Financial Summary Reporting,[MVP-E08-F01] Financial Summary Reporting,reporting,high,Backlog,,MVP-E08,,portfolio/issues/features/MVP-E08-F01-mvp-e08-f01-financial-summary-reporting.md
MVP-E08-F01-S01,story,MVP,MVP,Reporting,Financial Summary Reporting,[MVP-E08-F01-S01] Create financial summary model,reporting,medium,Backlog,3,MVP-E08-F01,,portfolio/issues/stories/MVP-E08-F01-S01-mvp-e08-f01-s01-create-financial-summary-model.md
MVP-E08-F01-S02,story,MVP,MVP,Reporting,Financial Summary Reporting,[MVP-E08-F01-S02] Create executive insight generator,reporting,medium,Backlog,3,MVP-E08-F01,,portfolio/issues/stories/MVP-E08-F01-S02-mvp-e08-f01-s02-create-executive-insight-generator.md
MVP-E08-F01-S03,story,MVP,MVP,Reporting,Financial Summary Reporting,[MVP-E08-F01-S03] Create report data route handler,reporting,medium,Backlog,3,MVP-E08-F01,,portfolio/issues/stories/MVP-E08-F01-S03-mvp-e08-f01-s03-create-report-data-api-endpoint.md
MVP-E08-F02,feature,MVP,MVP,Reporting,PDF and Excel Exports,[MVP-E08-F02] PDF and Excel Exports,reporting,high,Backlog,,MVP-E08,,portfolio/issues/features/MVP-E08-F02-mvp-e08-f02-pdf-and-excel-exports.md
MVP-E08-F02-S01,story,MVP,MVP,Reporting,PDF and Excel Exports,[MVP-E08-F02-S01] Integrate PDF report generation for Node,reporting,medium,Backlog,3,MVP-E08-F02,MVP-E08-F01-S03,portfolio/issues/stories/MVP-E08-F02-S01-mvp-e08-f02-s01-integrate-questpdf-report-generation.md
MVP-E08-F02-S02,story,MVP,MVP,Reporting,PDF and Excel Exports,[MVP-E08-F02-S02] Create Excel export using a Node workbook library,reporting,medium,Backlog,3,MVP-E08-F02,,portfolio/issues/stories/MVP-E08-F02-S02-mvp-e08-f02-s02-create-excel-export-using-closedxml.md
MVP-E08-F02-S03,story,MVP,MVP,Reporting,PDF and Excel Exports,[MVP-E08-F02-S03] Create CSV and JSON exports,reporting,medium,Backlog,3,MVP-E08-F02,,portfolio/issues/stories/MVP-E08-F02-S03-mvp-e08-f02-s03-create-csv-and-json-exports.md
MVP-E08-F02-S04,story,MVP,MVP,Reporting,PDF and Excel Exports,[MVP-E08-F02-S04] Create report audit event,reporting,medium,Backlog,3,MVP-E08-F02,,portfolio/issues/stories/MVP-E08-F02-S04-mvp-e08-f02-s04-create-report-audit-event.md
MDP-E01,epic,MDP,MDP,Questionnaire Engine,,[MDP-E01] Questionnaire Engine,questionnaire,medium,Backlog,,,,portfolio/issues/epics/MDP-E01-mdp-e01-questionnaire-engine.md
MDP-E01-F01,feature,MDP,MDP,Questionnaire Engine,Question Definition System,[MDP-E01-F01] Question Definition System,questionnaire,medium,Backlog,,MDP-E01,,portfolio/issues/features/MDP-E01-F01-mdp-e01-f01-question-definition-system.md
MDP-E01-F01-S01,story,MDP,MDP,Questionnaire Engine,Question Definition System,[MDP-E01-F01-S01] Create questionnaire domain model,questionnaire,medium,Backlog,5,MDP-E01-F01,,portfolio/issues/stories/MDP-E01-F01-S01-mdp-e01-f01-s01-create-questionnaire-domain-model.md
MDP-E01-F01-S02,story,MDP,MDP,Questionnaire Engine,Question Definition System,[MDP-E01-F01-S02] Create question definition loader,questionnaire,medium,Backlog,5,MDP-E01-F01,,portfolio/issues/stories/MDP-E01-F01-S02-mdp-e01-f01-s02-create-question-definition-loader.md
MDP-E01-F01-S03,story,MDP,MDP,Questionnaire Engine,Question Definition System,[MDP-E01-F01-S03] Implement conditional question logic,questionnaire,medium,Backlog,5,MDP-E01-F01,,portfolio/issues/stories/MDP-E01-F01-S03-mdp-e01-f01-s03-implement-conditional-question-logic.md
MDP-E01-F01-S04,story,MDP,MDP,Questionnaire Engine,Question Definition System,[MDP-E01-F01-S04] Create response validation engine,questionnaire,medium,Backlog,5,MDP-E01-F01,,portfolio/issues/stories/MDP-E01-F01-S04-mdp-e01-f01-s04-create-response-validation-engine.md
MDP-E01-F02,feature,MDP,MDP,Questionnaire Engine,Response Capture,[MDP-E01-F02] Response Capture,questionnaire,medium,Backlog,,MDP-E01,,portfolio/issues/features/MDP-E01-F02-mdp-e01-f02-response-capture.md
MDP-E01-F02-S01,story,MDP,MDP,Questionnaire Engine,Response Capture,[MDP-E01-F02-S01] Create questionnaire session API,questionnaire,medium,Backlog,5,MDP-E01-F02,,portfolio/issues/stories/MDP-E01-F02-S01-mdp-e01-f02-s01-create-questionnaire-session-api.md
MDP-E01-F02-S02,story,MDP,MDP,Questionnaire Engine,Response Capture,[MDP-E01-F02-S02] Create questionnaire versioning,questionnaire,medium,Backlog,5,MDP-E01-F02,,portfolio/issues/stories/MDP-E01-F02-S02-mdp-e01-f02-s02-create-questionnaire-versioning.md
MDP-E01-F02-S03,story,MDP,MDP,Questionnaire Engine,Response Capture,[MDP-E01-F02-S03] Create response persistence,questionnaire,medium,Backlog,5,MDP-E01-F02,,portfolio/issues/stories/MDP-E01-F02-S03-mdp-e01-f02-s03-create-response-persistence.md
MDP-E02,epic,MDP,MDP,Scoring Engine,,[MDP-E02] Scoring Engine,financial-engine,medium,Backlog,,,,portfolio/issues/epics/MDP-E02-mdp-e02-scoring-engine.md
MDP-E02-F01,feature,MDP,MDP,Scoring Engine,Score Models,[MDP-E02-F01] Score Models,financial-engine,medium,Backlog,,MDP-E02,,portfolio/issues/features/MDP-E02-F01-mdp-e02-f01-score-models.md
MDP-E02-F01-S01,story,MDP,MDP,Scoring Engine,Score Models,[MDP-E02-F01-S01] Create financial health score,financial-engine,medium,Backlog,5,MDP-E02-F01,,portfolio/issues/stories/MDP-E02-F01-S01-mdp-e02-f01-s01-create-financial-health-score.md
MDP-E02-F01-S02,story,MDP,MDP,Scoring Engine,Score Models,[MDP-E02-F01-S02] Create affordability score,financial-engine,medium,Backlog,5,MDP-E02-F01,,portfolio/issues/stories/MDP-E02-F01-S02-mdp-e02-f01-s02-create-affordability-score.md
MDP-E02-F01-S03,story,MDP,MDP,Scoring Engine,Score Models,[MDP-E02-F01-S03] Create debt risk score,financial-engine,medium,Backlog,5,MDP-E02-F01,,portfolio/issues/stories/MDP-E02-F01-S03-mdp-e02-f01-s03-create-debt-risk-score.md
MDP-E02-F01-S04,story,MDP,MDP,Scoring Engine,Score Models,[MDP-E02-F01-S04] Create savings resilience score,financial-engine,medium,Backlog,5,MDP-E02-F01,,portfolio/issues/stories/MDP-E02-F01-S04-mdp-e02-f01-s04-create-savings-resilience-score.md
MDP-E02-F02,feature,MDP,MDP,Scoring Engine,Scoring Governance,[MDP-E02-F02] Scoring Governance,financial-engine,medium,Backlog,,MDP-E02,,portfolio/issues/features/MDP-E02-F02-mdp-e02-f02-scoring-governance.md
MDP-E02-F02-S01,story,MDP,MDP,Scoring Engine,Scoring Governance,[MDP-E02-F02-S01] Create scoring rule definition format,financial-engine,medium,Backlog,5,MDP-E02-F02,,portfolio/issues/stories/MDP-E02-F02-S01-mdp-e02-f02-s01-create-scoring-rule-definition-format.md
MDP-E02-F02-S02,story,MDP,MDP,Scoring Engine,Scoring Governance,[MDP-E02-F02-S02] Create scoring explanation engine,financial-engine,medium,Backlog,5,MDP-E02-F02,,portfolio/issues/stories/MDP-E02-F02-S02-mdp-e02-f02-s02-create-scoring-explanation-engine.md
MDP-E02-F02-S03,story,MDP,MDP,Scoring Engine,Scoring Governance,[MDP-E02-F02-S03] Create score versioning,financial-engine,medium,Backlog,5,MDP-E02-F02,,portfolio/issues/stories/MDP-E02-F02-S03-mdp-e02-f02-s03-create-score-versioning.md
MDP-E03,epic,MDP,MDP,Recommendations,,[MDP-E03] Recommendations,recommendations,medium,Backlog,,,,portfolio/issues/epics/MDP-E03-mdp-e03-recommendations.md
MDP-E03-F01,feature,MDP,MDP,Recommendations,Recommendation Rules,[MDP-E03-F01] Recommendation Rules,recommendations,medium,Backlog,,MDP-E03,,portfolio/issues/features/MDP-E03-F01-mdp-e03-f01-recommendation-rules.md
MDP-E03-F01-S01,story,MDP,MDP,Recommendations,Recommendation Rules,[MDP-E03-F01-S01] Create recommendation rule framework,recommendations,medium,Backlog,5,MDP-E03-F01,,portfolio/issues/stories/MDP-E03-F01-S01-mdp-e03-f01-s01-create-recommendation-rule-framework.md
MDP-E03-F01-S02,story,MDP,MDP,Recommendations,Recommendation Rules,[MDP-E03-F01-S02] Create budget recommendations,recommendations,medium,Backlog,5,MDP-E03-F01,,portfolio/issues/stories/MDP-E03-F01-S02-mdp-e03-f01-s02-create-budget-recommendations.md
MDP-E03-F01-S03,story,MDP,MDP,Recommendations,Recommendation Rules,[MDP-E03-F01-S03] Create debt recommendations,recommendations,medium,Backlog,5,MDP-E03-F01,,portfolio/issues/stories/MDP-E03-F01-S03-mdp-e03-f01-s03-create-debt-recommendations.md
MDP-E03-F01-S04,story,MDP,MDP,Recommendations,Recommendation Rules,[MDP-E03-F01-S04] Create savings recommendations,recommendations,medium,Backlog,5,MDP-E03-F01,,portfolio/issues/stories/MDP-E03-F01-S04-mdp-e03-f01-s04-create-savings-recommendations.md
MDP-E03-F01-S05,story,MDP,MDP,Recommendations,Recommendation Rules,[MDP-E03-F01-S05] Create risk recommendations,recommendations,medium,Backlog,5,MDP-E03-F01,,portfolio/issues/stories/MDP-E03-F01-S05-mdp-e03-f01-s05-create-risk-recommendations.md
MDP-E03-F02,feature,MDP,MDP,Recommendations,Decision and Scenario Engine,[MDP-E03-F02] Decision and Scenario Engine,recommendations,medium,Backlog,,MDP-E03,,portfolio/issues/features/MDP-E03-F02-mdp-e03-f02-decision-and-scenario-engine.md
MDP-E03-F02-S01,story,MDP,MDP,Recommendations,Decision and Scenario Engine,[MDP-E03-F02-S01] Create scenario modeling engine,recommendations,medium,Backlog,5,MDP-E03-F02,,portfolio/issues/stories/MDP-E03-F02-S01-mdp-e03-f02-s01-create-scenario-modeling-engine.md
MDP-E03-F02-S02,story,MDP,MDP,Recommendations,Decision and Scenario Engine,[MDP-E03-F02-S02] Create decision tree engine,recommendations,medium,Backlog,5,MDP-E03-F02,,portfolio/issues/stories/MDP-E03-F02-S02-mdp-e03-f02-s02-create-decision-tree-engine.md
MDP-E03-F02-S03,story,MDP,MDP,Recommendations,Decision and Scenario Engine,[MDP-E03-F02-S03] Create recommendation priority ranking,recommendations,medium,Backlog,5,MDP-E03-F02,,portfolio/issues/stories/MDP-E03-F02-S03-mdp-e03-f02-s03-create-recommendation-priority-ranking.md
MDP-E04,epic,MDP,MDP,Financial Personas,,[MDP-E04] Financial Personas,recommendations,medium,Backlog,,,,portfolio/issues/epics/MDP-E04-mdp-e04-financial-personas.md
MDP-E04-F01,feature,MDP,MDP,Financial Personas,Persona Classification,[MDP-E04-F01] Persona Classification,recommendations,medium,Backlog,,MDP-E04,,portfolio/issues/features/MDP-E04-F01-mdp-e04-f01-persona-classification.md
MDP-E04-F01-S01,story,MDP,MDP,Financial Personas,Persona Classification,[MDP-E04-F01-S01] Define financial persona taxonomy,recommendations,medium,Backlog,5,MDP-E04-F01,,portfolio/issues/stories/MDP-E04-F01-S01-mdp-e04-f01-s01-define-financial-persona-taxonomy.md
MDP-E04-F01-S02,story,MDP,MDP,Financial Personas,Persona Classification,[MDP-E04-F01-S02] Implement persona classifier,recommendations,medium,Backlog,5,MDP-E04-F01,,portfolio/issues/stories/MDP-E04-F01-S02-mdp-e04-f01-s02-implement-persona-classifier.md
MDP-E04-F01-S03,story,MDP,MDP,Financial Personas,Persona Classification,[MDP-E04-F01-S03] Create persona-specific recommendation templates,recommendations,medium,Backlog,5,MDP-E04-F01,,portfolio/issues/stories/MDP-E04-F01-S03-mdp-e04-f01-s03-create-persona-specific-recommendation-templates.md
V1-E01,epic,V1,V1,Identity and Access,,[V1-E01] Identity and Access,identity,medium,Backlog,,,,portfolio/issues/epics/V1-E01-v1-e01-identity-and-access.md
V1-E01-F01,feature,V1,V1,Identity and Access,Authentication,[V1-E01-F01] Authentication,identity,medium,Backlog,,V1-E01,,portfolio/issues/features/V1-E01-F01-v1-e01-f01-authentication.md
V1-E01-F01-S01,story,V1,V1,Identity and Access,Authentication,[V1-E01-F01-S01] Implement user registration and login,identity,medium,Backlog,5,V1-E01-F01,,portfolio/issues/stories/V1-E01-F01-S01-v1-e01-f01-s01-implement-user-registration-and-login.md
V1-E01-F01-S02,story,V1,V1,Identity and Access,Authentication,[V1-E01-F01-S02] Implement JWT authentication,identity,medium,Backlog,5,V1-E01-F01,,portfolio/issues/stories/V1-E01-F01-S02-v1-e01-f01-s02-implement-jwt-authentication.md
V1-E01-F01-S03,story,V1,V1,Identity and Access,Authentication,[V1-E01-F01-S03] Implement MFA-ready account model,identity,medium,Backlog,5,V1-E01-F01,,portfolio/issues/stories/V1-E01-F01-S03-v1-e01-f01-s03-implement-mfa-ready-account-model.md
V1-E01-F01-S04,story,V1,V1,Identity and Access,Authentication,[V1-E01-F01-S04] Create role and permission model,identity,medium,Backlog,5,V1-E01-F01,,portfolio/issues/stories/V1-E01-F01-S04-v1-e01-f01-s04-create-role-and-permission-model.md
V1-E01-F02,feature,V1,V1,Identity and Access,Organizations,[V1-E01-F02] Organizations,identity,medium,Backlog,,V1-E01,,portfolio/issues/features/V1-E01-F02-v1-e01-f02-organizations.md
V1-E01-F02-S01,story,V1,V1,Identity and Access,Organizations,[V1-E01-F02-S01] Create organization entity,identity,medium,Backlog,5,V1-E01-F02,,portfolio/issues/stories/V1-E01-F02-S01-v1-e01-f02-s01-create-organization-entity.md
V1-E01-F02-S02,story,V1,V1,Identity and Access,Organizations,[V1-E01-F02-S02] Create invitation workflow skeleton,identity,medium,Backlog,5,V1-E01-F02,,portfolio/issues/stories/V1-E01-F02-S02-v1-e01-f02-s02-create-invitation-workflow-skeleton.md
V1-E02,epic,V1,V1,Multi-Tenancy,,[V1-E02] Multi-Tenancy,security,medium,Backlog,,,,portfolio/issues/epics/V1-E02-v1-e02-multi-tenancy.md
V1-E02-F01,feature,V1,V1,Multi-Tenancy,Tenant Isolation,[V1-E02-F01] Tenant Isolation,security,medium,Backlog,,V1-E02,,portfolio/issues/features/V1-E02-F01-v1-e02-f01-tenant-isolation.md
V1-E02-F01-S01,story,V1,V1,Multi-Tenancy,Tenant Isolation,[V1-E02-F01-S01] Create tenant context resolver,security,medium,Backlog,5,V1-E02-F01,,portfolio/issues/stories/V1-E02-F01-S01-v1-e02-f01-s01-create-tenant-context-resolver.md
V1-E02-F01-S02,story,V1,V1,Multi-Tenancy,Tenant Isolation,[V1-E02-F01-S02] Apply tenant filters to data access,security,medium,Backlog,5,V1-E02-F01,,portfolio/issues/stories/V1-E02-F01-S02-v1-e02-f01-s02-apply-tenant-filters-to-data-access.md
V1-E02-F01-S03,story,V1,V1,Multi-Tenancy,Tenant Isolation,[V1-E02-F01-S03] Create tenant configuration model,security,medium,Backlog,5,V1-E02-F01,,portfolio/issues/stories/V1-E02-F01-S03-v1-e02-f01-s03-create-tenant-configuration-model.md
V1-E02-F02,feature,V1,V1,Multi-Tenancy,Usage Tracking,[V1-E02-F02] Usage Tracking,billing,medium,Backlog,,V1-E02,,portfolio/issues/features/V1-E02-F02-v1-e02-f02-usage-tracking.md
V1-E02-F02-S01,story,V1,V1,Multi-Tenancy,Usage Tracking,[V1-E02-F02-S01] Track statement processing usage,billing,medium,Backlog,5,V1-E02-F02,,portfolio/issues/stories/V1-E02-F02-S01-v1-e02-f02-s01-track-statement-processing-usage.md
V1-E02-F02-S02,story,V1,V1,Multi-Tenancy,Usage Tracking,[V1-E02-F02-S02] Create usage summary API,billing,medium,Backlog,5,V1-E02-F02,,portfolio/issues/stories/V1-E02-F02-S02-v1-e02-f02-s02-create-usage-summary-api.md
V1-E03,epic,V1,V1,Billing and Commercial Features,,[V1-E03] Billing and Commercial Features,billing,medium,Backlog,,,,portfolio/issues/epics/V1-E03-v1-e03-billing-and-commercial-features.md
V1-E03-F01,feature,V1,V1,Billing and Commercial Features,Plans and Limits,[V1-E03-F01] Plans and Limits,billing,medium,Backlog,,V1-E03,,portfolio/issues/features/V1-E03-F01-v1-e03-f01-plans-and-limits.md
V1-E03-F01-S01,story,V1,V1,Billing and Commercial Features,Plans and Limits,[V1-E03-F01-S01] Create subscription plan model,billing,medium,Backlog,5,V1-E03-F01,,portfolio/issues/stories/V1-E03-F01-S01-v1-e03-f01-s01-create-subscription-plan-model.md
V1-E03-F01-S02,story,V1,V1,Billing and Commercial Features,Plans and Limits,[V1-E03-F01-S02] Implement feature flag service,billing,medium,Backlog,5,V1-E03-F01,,portfolio/issues/stories/V1-E03-F01-S02-v1-e03-f01-s02-implement-feature-flag-service.md
V1-E03-F01-S03,story,V1,V1,Billing and Commercial Features,Plans and Limits,[V1-E03-F01-S03] Implement usage limit enforcement,billing,medium,Backlog,5,V1-E03-F01,,portfolio/issues/stories/V1-E03-F01-S03-v1-e03-f01-s03-implement-usage-limit-enforcement.md
V1-E03-F02,feature,V1,V1,Billing and Commercial Features,Billing Integration Skeleton,[V1-E03-F02] Billing Integration Skeleton,billing,medium,Backlog,,V1-E03,,portfolio/issues/features/V1-E03-F02-v1-e03-f02-billing-integration-skeleton.md
V1-E03-F02-S01,story,V1,V1,Billing and Commercial Features,Billing Integration Skeleton,[V1-E03-F02-S01] Create billing provider abstraction,billing,medium,Backlog,5,V1-E03-F02,,portfolio/issues/stories/V1-E03-F02-S01-v1-e03-f02-s01-create-billing-provider-abstraction.md
V1-E03-F02-S02,story,V1,V1,Billing and Commercial Features,Billing Integration Skeleton,[V1-E03-F02-S02] Create invoice metadata model,billing,medium,Backlog,5,V1-E03-F02,,portfolio/issues/stories/V1-E03-F02-S02-v1-e03-f02-s02-create-invoice-metadata-model.md
V1-E04,epic,V1,V1,AI Platform,,[V1-E04] AI Platform,ai,medium,Backlog,,,,portfolio/issues/epics/V1-E04-v1-e04-ai-platform.md
V1-E04-F01,feature,V1,V1,AI Platform,Local AI Infrastructure,[V1-E04-F01] Local AI Infrastructure,ai,medium,Backlog,,V1-E04,,portfolio/issues/features/V1-E04-F01-v1-e04-f01-local-ai-infrastructure.md
V1-E04-F01-S01,story,V1,V1,AI Platform,Local AI Infrastructure,[V1-E04-F01-S01] Create Ollama client,ai,medium,Backlog,5,V1-E04-F01,,portfolio/issues/stories/V1-E04-F01-S01-v1-e04-f01-s01-create-ollama-client.md
V1-E04-F01-S02,story,V1,V1,AI Platform,Local AI Infrastructure,[V1-E04-F01-S02] Create local AI orchestration abstraction,ai,medium,Backlog,5,V1-E04-F01,,portfolio/issues/stories/V1-E04-F01-S02-v1-e04-f01-s02-integrate-semantic-kernel-abstraction.md
V1-E04-F01-S03,story,V1,V1,AI Platform,Local AI Infrastructure,[V1-E04-F01-S03] Create prompt template library,ai,medium,Backlog,5,V1-E04-F01,,portfolio/issues/stories/V1-E04-F01-S03-v1-e04-f01-s03-create-prompt-template-library.md
V1-E04-F01-S04,story,V1,V1,AI Platform,Local AI Infrastructure,[V1-E04-F01-S04] Create AI response validation,ai,medium,Backlog,5,V1-E04-F01,,portfolio/issues/stories/V1-E04-F01-S04-v1-e04-f01-s04-create-ai-response-validation.md
V1-E04-F02,feature,V1,V1,AI Platform,AI Assisted Categorization,[V1-E04-F02] AI Assisted Categorization,ai,medium,Backlog,,V1-E04,,portfolio/issues/features/V1-E04-F02-v1-e04-f02-ai-assisted-categorization.md
V1-E04-F02-S01,story,V1,V1,AI Platform,AI Assisted Categorization,[V1-E04-F02-S01] Suggest category for unknown merchants,ai,medium,Backlog,5,V1-E04-F02,,portfolio/issues/stories/V1-E04-F02-S01-v1-e04-f02-s01-suggest-category-for-unknown-merchants.md
V1-E04-F02-S02,story,V1,V1,AI Platform,AI Assisted Categorization,[V1-E04-F02-S02] Suggest merchant normalization,ai,medium,Backlog,5,V1-E04-F02,,portfolio/issues/stories/V1-E04-F02-S02-v1-e04-f02-s02-suggest-merchant-normalization.md
V1-E04-F03,feature,V1,V1,AI Platform,AI Financial Advisor,[V1-E04-F03] AI Financial Advisor,ai,medium,Backlog,,V1-E04,,portfolio/issues/features/V1-E04-F03-v1-e04-f03-ai-financial-advisor.md
V1-E04-F03-S01,story,V1,V1,AI Platform,AI Financial Advisor,[V1-E04-F03-S01] Generate narrative insights from deterministic metrics,ai,medium,Backlog,5,V1-E04-F03,,portfolio/issues/stories/V1-E04-F03-S01-v1-e04-f03-s01-generate-narrative-insights-from-deterministic-metrics.md
V1-E04-F03-S02,story,V1,V1,AI Platform,AI Financial Advisor,[V1-E04-F03-S02] Generate budget coaching explanation,ai,medium,Backlog,5,V1-E04-F03,,portfolio/issues/stories/V1-E04-F03-S02-v1-e04-f03-s02-generate-budget-coaching-explanation.md
V1-E04-F03-S03,story,V1,V1,AI Platform,AI Financial Advisor,[V1-E04-F03-S03] Create AI audit trail,ai,medium,Backlog,5,V1-E04-F03,,portfolio/issues/stories/V1-E04-F03-S03-v1-e04-f03-s03-create-ai-audit-trail.md
V1-E05,epic,V1,V1,Open Banking,,[V1-E05] Open Banking,open-banking,medium,Backlog,,,,portfolio/issues/epics/V1-E05-v1-e05-open-banking.md
V1-E05-F01,feature,V1,V1,Open Banking,Bank Integration Abstractions,[V1-E05-F01] Bank Integration Abstractions,open-banking,medium,Backlog,,V1-E05,,portfolio/issues/features/V1-E05-F01-v1-e05-f01-bank-integration-abstractions.md
V1-E05-F01-S01,story,V1,V1,Open Banking,Bank Integration Abstractions,[V1-E05-F01-S01] Create bank connector interface,open-banking,medium,Backlog,5,V1-E05-F01,,portfolio/issues/stories/V1-E05-F01-S01-v1-e05-f01-s01-create-bank-connector-interface.md
V1-E05-F01-S02,story,V1,V1,Open Banking,Bank Integration Abstractions,[V1-E05-F01-S02] Create consent model,open-banking,medium,Backlog,5,V1-E05-F01,,portfolio/issues/stories/V1-E05-F01-S02-v1-e05-f01-s02-create-consent-model.md
V1-E05-F01-S03,story,V1,V1,Open Banking,Bank Integration Abstractions,[V1-E05-F01-S03] Create account linking model,open-banking,medium,Backlog,5,V1-E05-F01,,portfolio/issues/stories/V1-E05-F01-S03-v1-e05-f01-s03-create-account-linking-model.md
V1-E05-F02,feature,V1,V1,Open Banking,Transaction Sync,[V1-E05-F02] Transaction Sync,open-banking,medium,Backlog,,V1-E05,,portfolio/issues/features/V1-E05-F02-v1-e05-f02-transaction-sync.md
